Ефимов Вальтер Еремеевич,Наводчик-оператор,3-й танковый батальон,20295
Комаров Леонтий Яковович,Механик-водитель,102-й мотострелковый полк,42122
Буров Юлиан Миронович,Огнеметчик,2-я артиллерийская батарея,58832
Ильин Филипп Германович,Старший портной,82-я воздушно-десантная дивизия,19836
Королёв Роман Русланович,Слесарь,82-я воздушно-десантная дивизия,11111
Агафонов Родион Тимурович,Старший гранатометчик,2-я артиллерийская батарея,48843
Кабанов Юрий Германович,Старший кузнец,2-я артиллерийская батарея,58996
Тимофеев Станислав Леонидович,Старший пильщик,3-й танковый батальон,38493
Данилов Моисей Сергеевич,Сапожник,102-й мотострелковый полк,44524
Фёдоров Вилен Львович,Закройщик,102-й мотострелковый полк,48232
Мамонтов Ираклий Макарович,Медник-жестянщик,102-й мотострелковый полк,20597
Авдеев Илларион Максович,Радиотелефонист,82-я воздушно-десантная дивизия,48238
Шашков Герасим Антонинович,Старший сварщик,82-я воздушно-десантная дивизия,46708
Тимофеев Людвиг Митрофанович,Старший пекарь,82-я воздушно-десантная дивизия,33924
Савин Натан Проклович,Медник-жестянщик,102-й мотострелковый полк,16763
Титов Арсений Всеволодович,Закройщик,102-й мотострелковый полк,48925
Кабанов Дмитрий Сергеевич,Старший вулканизаторщик,2-я артиллерийская батарея,23839
Гуляев Осип Юлианович,Старший дизелист,82-я воздушно-десантная дивизия,40037
Ильин Харитон Николаевич,Кинорадиомеханик,102-й мотострелковый полк,36538
Сергеев Венедикт Антонович,Старший сапожник,102-й мотострелковый полк,20985
Титов Владислав Федотович,Старший электрик,82-я воздушно-десантная дивизия,47530
Фомичёв Устин Кимович,Грейдерист,3-й танковый батальон,35973
Тетерин Владислав Вячеславович,Пильщик,102-й мотострелковый полк,52343
Беляев Владлен Васильевич,Стекольщик,2-я артиллерийская батарея,55667
Ильин Донат Матвеевич,Вулканизаторщик,82-я воздушно-десантная дивизия,44245
Буров Ефим Ростиславович,Медник-жестянщик,82-я воздушно-десантная дивизия,11754
Ефимов Геннадий Юрьевич,Старший сапер,2-я артиллерийская батарея,58527
Сысоев Владислав Михайлович,Кочегар,102-й мотострелковый полк,33395
Фёдоров Денис Матвеевич,Кок,102-й мотострелковый полк,46705
Михеев Прохор Юрьевич,Старший мастер,82-я воздушно-десантная дивизия,36248
Тарасов Аполлон Георгиевич,Гранатометчик,3-й танковый батальон,59110
Сергеев Аполлон Филиппович,Наводчик,82-я воздушно-десантная дивизия,39784
Беляков Панкратий Кириллович,Старший вулканизаторщик,102-й мотострелковый полк,29630
Степанов Виссарион Валентинович,Огнеметчик,2-я артиллерийская батарея,21455
Герасимов Дмитрий Филиппович,Старший кок,102-й мотострелковый полк,49457
Шубин Роман Валентинович,Портной,82-я воздушно-десантная дивизия,37883
Архипов Мечеслав Яковович,Сапер,2-я артиллерийская батарея,13529
Буров Ефим Христофорович,Слесарь,2-я артиллерийская батарея,10027
