Беляков Емельян Геннадьевич,Старший кинорадиомеханик,102-й мотострелковый полк,19042
Носов Пантелей Улебович,Помощник начальника автодрома,3-й танковый батальон,52723
Горбачёв Прохор Давидович,Наводчик,82-я воздушно-десантная дивизия,56024
Степанов Роман Семёнович,Старший радиотелеграфист,2-я артиллерийская батарея,31729
Костин Мартин Геннадьевич,Старший разведчик,2-я артиллерийская батарея,41960
Носов Рудольф Петрович,Старший сапожник,2-я артиллерийская батарея,53858
Филиппов Анатолий Георгиевич,Старший электромонтер,3-й танковый батальон,29716
Гордеев Пантелеймон Тарасович,Старший столяр,82-я воздушно-десантная дивизия,49360
Кудрявцев Герман Игнатьевич,Дефектовщик,82-я воздушно-десантная дивизия,57134
Савин Демьян Натанович,Медник-жестянщик,3-й танковый батальон,43480
Ефимов Варлаам Семенович,Старший вулканизаторщик,82-я воздушно-десантная дивизия,30714
Дементьев Оскар Тихонович,Вьюковожатый,3-й танковый батальон,22208
Блинов Корнелий Васильевич,Оператор,3-й танковый батальон,59504
Евсеев Альфред Фролович,Старший сапер,2-я артиллерийская батарея,22313
Силин Май Всеволодович,Сапер,3-й танковый батальон,35646
Назаров Герасим Глебович,Наводчик-оператор,2-я артиллерийская батарея,36037
Гуляев Лавр Аристархович,Механик-водитель,82-я воздушно-десантная дивизия,22050
Титов Трофим Мэлорович,Кок,82-я воздушно-десантная дивизия,59286
Степанов Владислав Куприянович,Крановщик,82-я воздушно-десантная дивизия,58823
Беляков Исаак Богуславович,Старший пекарь,102-й мотострелковый полк,17261
Тимофеев Кондрат Кириллович,Старший пильщик,82-я воздушно-десантная дивизия,25128
Рыбаков Евдоким Валентинович,Кок,3-й танковый батальон,28698
Горбачёв Вальтер Борисович,Старший пекарь,3-й танковый батальон,39293
Титов Юрий Онисимович,Старший водитель,82-я воздушно-десантная дивизия,42846
Авдеев Ким Эльдарович,Механик,2-я артиллерийская батарея,27110
Иванов Илларион Альбертович,Помощник начальника автодрома,82-я воздушно-десантная дивизия,43534
Ефимов Натан Филиппович,Старший маляр,102-й мотострелковый полк,58868
Кузнецов Владлен Онисимович,Разведчик,3-й танковый батальон,50909
Ситников Моисей Макарович,Монтажник,102-й мотострелковый полк,48576
Кузьмин Ефим Наумович,Старший сапожник,82-я воздушно-десантная дивизия,13049
Степанов Ян Борисович,Плотник,102-й мотострелковый полк,27133
Макаров Артем Филиппович,Старший пильщик,82-я воздушно-десантная дивизия,39748
Козлов Касьян Евсеевич,Сварщик,82-я воздушно-десантная дивизия,10200
Сергеев Венедикт Георгиевич,Патрульный,82-я воздушно-десантная дивизия,19058
Михеев Кондратий Степанович,Старший водитель,82-я воздушно-десантная дивизия,17018
Аксёнов Дмитрий Наумович,Старший мастер,102-й мотострелковый полк,10835
Дроздов Дональд Всеволодович,Наводчик,82-я воздушно-десантная дивизия,25050
Буров Мартин Станиславович,Старший водитель,2-я артиллерийская батарея,44614
Щукин Денис Евсеевич,Мельник,2-я артиллерийская батарея,33868
Колобов Демьян Геннадьевич,Старший гранатометчик,2-я артиллерийская батарея,23525
Родионов Пантелей Романович,Мельник,82-я воздушно-десантная дивизия,49153
Шубин Мартин Дмитрьевич,Пекарь,2-я артиллерийская батарея,31033
Авдеев Филипп Альвианович,Кинорадиомеханик,82-я воздушно-десантная дивизия,51425
Савин Вольдемар Платонович,Старший сапер,102-й мотострелковый полк,27091
Степанов Вилли Петрович,Сапожник,2-я артиллерийская батарея,46082
Борисов Гордей Юрьевич,Наводчик-оператор,102-й мотострелковый полк,21703
Ширяев Иван Дмитрьевич,Старший инструментальщик,102-й мотострелковый полк,13356
Васильев Лавр Евгеньевич,Старший маляр,82-я воздушно-десантная дивизия,30184
Герасимов Моисей Аристархович,Старший оператор,102-й мотострелковый полк,44461
Кузьмин Вольдемар Донатович,Старший мастер,2-я артиллерийская батарея,40760
Фёдоров Натан Семенович,Стекольщик,3-й танковый батальон,58614
Гордеев Исаак Максович,Огнеметчик,3-й танковый батальон,37451
Буров Велорий Всеволодович,Кок,102-й мотострелковый полк,31632
Сысоев Донат Вадимович,Старший пулеметчик,82-я воздушно-десантная дивизия,19795
Ефимов Эрнест Еремеевич,Кинорадиомеханик,2-я артиллерийская батарея,57118
Ермаков Велорий Аристархович,Старший кладовщик,82-я воздушно-десантная дивизия,15058
Шашков Пантелей Юлианович,Огнеметчик,2-я артиллерийская батарея,18005
Тетерин Ираклий Мэлорович,Гранатометчик,102-й мотострелковый полк,36002
Зыков Назарий Юлианович,Пекарь,2-я артиллерийская батарея,39538
Блинов Трофим Семёнович,Пулеметчик,102-й мотострелковый полк,21732
Кузьмин Мартин Тарасович,Сапожник,102-й мотострелковый полк,21672
Бобров Трофим Борисович,Патрульный,102-й мотострелковый полк,31266
Зимин Карл Донатович,Радиотелефонист,3-й танковый батальон,22068
Бобров Оскар Константинович,Разнорабочий,82-я воздушно-десантная дивизия,34760
Зиновьев Артем Семёнович,Механик-водитель,102-й мотострелковый полк,42131
Кудрявцев Венедикт Богуславович,Грейдерист,82-я воздушно-десантная дивизия,13812
Титов Натан Николаевич,Старший столяр,82-я воздушно-десантная дивизия,12674
Кузнецов Артем Демьянович,Аппаратчик,82-я воздушно-десантная дивизия,10705
Комаров Рудольф Антонинович,Старший пекарь,2-я артиллерийская батарея,42596
Соколов Май Всеволодович,Гранатометчик,2-я артиллерийская батарея,42964
Соколов Остап Геннадьевич,Грейдерист,3-й танковый батальон,11861
Кононов Исаак Агафонович,Смазчик,82-я воздушно-десантная дивизия,34806
Рожков Даниил Семенович,Помощник начальника автодрома,3-й танковый батальон,54323
Тетерин Кирилл Наумович,Старший портной,3-й танковый батальон,14437
Беляев Геннадий Пётрович,Старший кладовщик,102-й мотострелковый полк,18704
Иванов Кирилл Макарович,Вьюковожатый,2-я артиллерийская батарея,37241
Иванов Осип Федотович,Водитель,2-я артиллерийская батарея,18581
Ильин Кондратий Витальевич,Старший вожатый служебных собак,3-й танковый батальон,32921
Фадеев Виталий Митрофанович,Старший кладовщик,2-я артиллерийская батарея,23930
Данилов Устин Адольфович,Старший плотник,82-я воздушно-десантная дивизия,58729
Тимофеев Иосиф Кимович,Наводчик,102-й мотострелковый полк,36856
Блинов Владислав Львович,Старший заправщик,82-я воздушно-десантная дивизия,37819
Дроздов Анатолий Павлович,Старший кладовщик,102-й мотострелковый полк,13110
Филиппов Исаак Тарасович,Старший кладовщик,102-й мотострелковый полк,33977
Зиновьев Велорий Матвеевич,Каменщик,82-я воздушно-десантная дивизия,43214
Горбунов Кирилл Донатович,Старший электромонтер,3-й танковый батальон,53673
Шашков Рудольф Степанович,Старший водитель,3-й танковый батальон,55256
Иванов Кондратий Яковлевич,Старший пулеметчик,2-я артиллерийская батарея,23137
Блинов Моисей Андреевич,Кузнец,2-я артиллерийская батарея,10314
Мамонтов Гордей Степанович,Помощник начальника автодрома,3-й танковый батальон,22781
Ефимов Геннадий Валентинович,Старший стрелок,2-я артиллерийская батарея,35279
Кабанов Пантелей Степанович,Старший стрелок,3-й танковый батальон,28318
Сысоев Виталий Глебович,Пекарь,82-я воздушно-десантная дивизия,50928
Ермаков Емельян Романович,Пекарь,102-й мотострелковый полк,38264
Андреев Герман Валерьянович,Стрелок,3-й танковый батальон,35375
Силин Кассиан Мэлорович,Стрелок,3-й танковый батальон,46588
Козлов Велорий Пётрович,Старший радиотелеграфист,102-й мотострелковый полк,16798
Сафонов Харитон Всеволодович,Радиотелеграфист,102-й мотострелковый полк,22668
Денисов Елисей Святославович,Старший гранатометчик,82-я воздушно-десантная дивизия,45424
Меркушев Демьян Федорович,Наводчик-оператор,82-я воздушно-десантная дивизия,40220
Беляев Виссарион Станиславович,Пулеметчик,2-я артиллерийская батарея,57254
Васильев Пантелей Митрофанович,Старший пильщик,82-я воздушно-десантная дивизия,31800
Андреев Гавриил Демьянович,Мастер,2-я артиллерийская батарея,34684
Беляев Тимур Андреевич,Грейдерист,102-й мотострелковый полк,13288
Кононов Пантелей Христофорович,Водитель,102-й мотострелковый полк,13140
Прохоров Донат Демьянович,Пулеметчик,82-я воздушно-десантная дивизия,19465
Комаров Варлам Григорьевич,Старший водитель,82-я воздушно-десантная дивизия,27685
Меркушев Венедикт Тихонович,Мельник,102-й мотострелковый полк,42103
Сергеев Велорий Максович,Кинорадиомеханик,2-я артиллерийская батарея,59096
Коновалов Денис Эдуардович,Радиотелефонист,3-й танковый батальон,30687
Родионов Олег Дмитриевич,Старший пекарь,82-я воздушно-десантная дивизия,55108
Кузьмин Лавр Пётрович,Маляр,2-я артиллерийская батарея,52608
Тетерин Устин Станиславович,Старший вулканизаторщик,82-я воздушно-десантная дивизия,51288
Костин Иосиф Вениаминович,Помощник начальника автодрома,82-я воздушно-десантная дивизия,42517
Макаров Герман Львович,Старший электромонтер,2-я артиллерийская батарея,50214
Степанов Эрнест Романович,Крановщик,102-й мотострелковый полк,18589
Лыткин Гавриил Вениаминович,Начальник лесопильной рамы,3-й танковый батальон,38894
Елисеев Касьян Григорьевич,Кладовщик,82-я воздушно-десантная дивизия,25325
Евсеев Варлаам Николаевич,Машинист,102-й мотострелковый полк,32171
Ширяев Дональд Дмитриевич,Грейдерист,102-й мотострелковый полк,45761
Воронов Азарий Альвианович,Старший механик-водитель,82-я воздушно-десантная дивизия,33829
Гуляев Игнат Натанович,Каменщик,102-й мотострелковый полк,21675
Буров Венедикт Тарасович,Старший инструментальщик,2-я артиллерийская батарея,35424
