Авдеев Арсений Улебович,Старший кинорадиомеханик,102-й мотострелковый полк,18571
Авдеев Бенедикт Яковович,Старший водитель,102-й мотострелковый полк,13905
Авдеев Венедикт Всеволодович,Вулканизаторщик,102-й мотострелковый полк,38958
Авдеев Виталий Германович,Старший пильщик,102-й мотострелковый полк,32627
Авдеев Вольдемар Фролович,Водитель,102-й мотострелковый полк,52924
Авдеев Герман Онисимович,Старший оператор,102-й мотострелковый полк,38646
Авдеев Демьян Филиппович,Мастер,102-й мотострелковый полк,51609
Авдеев Карл Эльдарович,Старший радиотелефонист,102-й мотострелковый полк,21268
Авдеев Корнелий Миронович,Старший разведчик,102-й мотострелковый полк,39773
Авдеев Ян Евгеньевич,Старший механик-водитель,102-й мотострелковый полк,35861
Агафонов Абрам Якунович,Механик,102-й мотострелковый полк,46701
Агафонов Венедикт Григорьевич,Старший сапожник,102-й мотострелковый полк,34361
Агафонов Вилен Матвеевич,Кочегар,102-й мотострелковый полк,16347
Агафонов Владлен Альбертович,Старший дизелист,102-й мотострелковый полк,16982
Агафонов Вячеслав Владимирович,Старший вожатый служебных собак,102-й мотострелковый полк,59044
Агафонов Геннадий Валерьянович,Кинорадиомеханик,102-й мотострелковый полк,57139
Агафонов Дональд Донатович,Грейдерист,102-й мотострелковый полк,37240
Агафонов Ким Вениаминович,Дизелист,102-й мотострелковый полк,43160
Агафонов Ким Федотович,Старший вожатый служебных собак,102-й мотострелковый полк,37492
Агафонов Мартин Федосеевич,Помощник начальника автодрома,102-й мотострелковый полк,11276
Агафонов Осип Романович,Кок,102-й мотострелковый полк,50533
Агафонов Остап Антонович,Мельник,102-й мотострелковый полк,20189
Агафонов Пантелеймон Григорьевич,Старший водитель,102-й мотострелковый полк,34838
Агафонов Станислав Евгеньевич,Крановщик,102-й мотострелковый полк,44006
Агафонов Устин Антонович,Старший маляр,102-й мотострелковый полк,49554
Агафонов Харитон Федотович,Вьюковожатый,102-й мотострелковый полк,43152
Агафонов Юрий Эльдарович,Старший плотник,102-й мотострелковый полк,11030
Аксёнов Азарий Христофорович,Старший маляр,102-й мотострелковый полк,13607
Аксёнов Анатолий Вячеславович,Огнеметчик,102-й мотострелковый полк,40781
Аксёнов Арсений Евсеевич,Начальник учебного класса,102-й мотострелковый полк,33557
Аксёнов Архип Геннадьевич,Старший дрессировщик,102-й мотострелковый полк,59192
Аксёнов Вальтер Натанович,Старший радиотелефонист,102-й мотострелковый полк,12315
Аксёнов Варлам Эдуардович,Кузнец,102-й мотострелковый полк,56903
Аксёнов Вилли Пантелеймонович,Пильщик,102-й мотострелковый полк,40706
Аксёнов Давид Вячеславович,Стрелок,102-й мотострелковый полк,10634
Аксёнов Елисей Сергеевич,Разнорабочий,102-й мотострелковый полк,57451
Аксёнов Корней Всеволодович,Радиотелефонист,102-й мотострелковый полк,17556
Аксёнов Лавр Игнатьевич,Пильщик,102-й мотострелковый полк,35494
Аксёнов Лавр Степанович,Заправщик,102-й мотострелковый полк,37010
Аксёнов Май Тарасович,Разведчик,102-й мотострелковый полк,52912
